timestamp_us,op_type,chunk_id,latency_us,ok,bytes
1776916149763669,PUT,chunk_1,9,0,4096
1776916149763674,GET,chunk_0,9,0,0
1776916149763680,GET,chunk_2,9,0,0
1776916149763685,GET,chunk_0,9,0,0
1776916149763690,PUT,chunk_0,9,0,4096
1776916149763701,GET,chunk_1,10,0,0
1776916149763707,GET,chunk_4,9,0,0
1776916149763696,GET,chunk_0,9,0,0
1776916149763716,PUT,chunk_0,11,0,4096
1776916149763720,PUT,chunk_0,10,0,4096
1776916149763726,GET,chunk_0,9,0,0
1776916149763712,GET,chunk_0,9,0,0
1776916149763731,GET,chunk_0,10,0,0
1776916149763740,GET,chunk_0,10,0,0
1776916149763735,GET,chunk_0,11,0,0
1776916149763745,GET,chunk_0,10,0,0
1776916149763759,GET,chunk_0,9,0,0
1776916149763754,PUT,chunk_4,11,0,4096
1776916149763768,GET,chunk_3,9,0,0
1776916149763773,GET,chunk_0,9,0,0
1776916149763750,PUT,chunk_1,10,0,4096
1776916149763778,PUT,chunk_0,10,0,4096
1776916149763787,GET,chunk_0,10,0,0
1776916149763792,GET,chunk_0,9,0,0
1776916149763782,GET,chunk_2,11,0,0
1776916149763797,GET,chunk_3,10,0,0
1776916149763805,GET,chunk_0,11,0,0
1776916149763811,PUT,chunk_0,10,0,4096
1776916149763816,GET,chunk_0,9,0,0
1776916149763821,GET,chunk_0,9,0,0
1776916149763825,GET,chunk_0,10,0,0
1776916149763830,PUT,chunk_1,10,0,4096
1776916149763835,PUT,chunk_0,9,0,4096
1776916149763840,PUT,chunk_0,10,0,4096
1776916149763844,GET,chunk_0,9,0,0
1776916149763849,PUT,chunk_0,9,0,4096
1776916149763854,GET,chunk_0,9,0,0
1776916149763858,GET,chunk_0,10,0,0
1776916149763863,GET,chunk_1,10,0,0
1776916149763868,GET,chunk_0,10,0,0
1776916149763872,GET,chunk_4,9,0,0
1776916149763877,PUT,chunk_0,10,0,4096
1776916149763882,PUT,chunk_4,9,0,4096
1776916149763886,GET,chunk_0,9,0,0
1776916149763801,GET,chunk_4,11,0,0
1776916149763896,GET,chunk_0,10,0,0
1776916149763900,GET,chunk_0,10,0,0
1776916149763905,PUT,chunk_2,10,0,4096
1776916149763910,GET,chunk_0,9,0,0
1776916149763891,GET,chunk_0,10,0,0
1776916149763915,GET,chunk_0,10,0,0
1776916149763923,PUT,chunk_4,10,0,4096
1776916149763929,PUT,chunk_0,9,0,4096
1776916149763934,GET,chunk_2,9,0,0
1776916149763938,GET,chunk_0,10,0,0
1776916149763943,PUT,chunk_0,9,0,4096
1776916149763948,GET,chunk_0,9,0,0
1776916149763952,PUT,chunk_0,9,0,4096
1776916149763957,GET,chunk_0,9,0,0
1776916149763962,PUT,chunk_0,9,0,4096
1776916149763966,GET,chunk_0,9,0,0
1776916149763920,GET,chunk_0,10,0,0
1776916149763976,GET,chunk_0,9,0,0
1776916149763980,GET,chunk_0,10,0,0
1776916149763985,GET,chunk_0,10,0,0
1776916149763990,PUT,chunk_0,9,0,4096
1776916149763995,GET,chunk_0,9,0,0
1776916149763971,PUT,chunk_2,10,0,4096
1776916149764004,GET,chunk_0,10,0,0
1776916149764008,PUT,chunk_0,10,0,4096
1776916149764013,GET,chunk_1,9,0,0
1776916149764018,PUT,chunk_0,9,0,4096
1776916149764022,GET,chunk_3,10,0,0
1776916149764027,GET,chunk_0,9,0,0
1776916149764032,PUT,chunk_4,9,0,4096
1776916149764037,GET,chunk_1,9,0,0
1776916149764041,GET,chunk_0,9,0,0
1776916149764046,GET,chunk_0,9,0,0
1776916149764000,GET,chunk_1,9,0,0
1776916149764055,PUT,chunk_0,10,0,4096
1776916149764051,GET,chunk_0,10,0,0
1776916149764060,GET,chunk_0,9,0,0
1776916149764065,GET,chunk_2,8,0,0
1776916149764078,GET,chunk_4,8,0,0
1776916149764083,PUT,chunk_0,9,0,4096
1776916149764088,PUT,chunk_0,9,0,4096
1776916149764093,PUT,chunk_1,9,0,4096
1776916149764099,PUT,chunk_0,9,0,4096
